headline,url,source,published_at,sentiment_score,sentiment_label,source_type,latitude,longitude,country
Myanmar: UN Special Representative for Children and Armed Conflict Engages with Myanmar on Better Protecting Children Affected by Armed Conflict,https://api.reliefweb.int/v1/reports/2627184?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.005213+00:00,0.34,positive,ReliefWeb,,,
SRSG for Children and Armed Conflict Calls on All Parties to Conflict to Strengthen Efforts to Protect Children in Sudan [EN/AR],https://api.reliefweb.int/v1/reports/2490304?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.005340+00:00,0.4588,positive,ReliefWeb,,,
"Children bear brunt of conflict in Afghanistan, says third country report on children and armed conflict",https://api.reliefweb.int/v1/reports/1055901?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.005466+00:00,-0.5574,negative,ReliefWeb,,,
Hamas ‘loses contact’ with group holding captive after Israeli strike,https://www.aljazeera.com/news/liveblog/2025/4/15/live-israel-hamas-say-negotiations-underway-as-israel-attacks-gaza-tents,Al Jazeera,,-0.128,neutral,scraped,31.0461,34.8516,Israel
Trump issues Harvard tax threat after university defies demands,https://www.aljazeera.com/news/liveblog/2025/4/15/trump-live-china-accuses-us-spies-of-cyberattacks-as-tariff-war-flares,Al Jazeera,,-0.5267,negative,scraped,,,
LIVE: Borussia Dortmund vs Barcelona – UEFA Champions League quarterfinal,https://www.aljazeera.com/sports/liveblog/2025/4/15/live-borussia-dortmund-vs-barcelona-uefa-champions-league-quarterfinal,Al Jazeera,,0.5267,positive,scraped,,,
Harvard’s $2.3bn gamble: What Trump demanded; how the university resisted,https://www.aljazeera.com/news/2025/4/15/harvards-2-3bn-gamble-what-trump-demanded-how-the-university-resisted,Al Jazeera,,-0.2263,negative,scraped,,,
Trump-China trade war: Which US companies could be worst hit,https://www.aljazeera.com/news/2025/4/15/trump-china-trade-war-which-us-companies-could-be-worst-hit,Al Jazeera,,-0.8402,negative,scraped,,,
"Iran ‘must stop and eliminate’ nuclear enrichment, says US envoy Witkoff",https://www.aljazeera.com/news/2025/4/15/iran-must-stop-and-eliminate-nuclear-enrichment-says-us-envoy-witkoff,Al Jazeera,,-0.296,negative,scraped,32.4279,53.688,Iran
Russian spy chief threatens Poland and Baltic States,https://www.aljazeera.com/news/2025/4/15/russian-spy-chief-threatens-poland-and-baltic-states,Al Jazeera,,-0.3818,negative,scraped,,,
Did US courts back Kilmar Abrego Garcia’s El Salvador deportation?,https://www.aljazeera.com/news/2025/4/15/did-us-courts-back-kilmar-abrego-garcias-el-salvador-deportation,Al Jazeera,,0.0,neutral,scraped,,,
Russia’s Putin open to Ukraine peace deal: US envoy,https://www.aljazeera.com/news/2025/4/15/us-envoy-witkoff-says-putin-open-to-permanent-peace-with-ukraine,Al Jazeera,,0.5423,positive,scraped,,,
"Why bonds, not stocks, could predict the next economic crisis in the US",https://www.aljazeera.com/economy/2025/4/15/why-bonds-not-stocks-could-predict-the-next-economic-crisis-in-the-us,Al Jazeera,,-0.6249,negative,scraped,,,
